"
PLS_Infrastructure / נתוני תשתיות פריט 3
Organization Code Parameter: 'PLS', Item Number Parameter: '02%'"

"ORG","Item Number","ENG Description","HEB Description","Status Code","Lifecycle Phase","Make / Buy","Unit Weight","Marketing Package","Pack Qty"
"PLS","02001025","NOT ACTIVE- POULTRY CRATE MK1. - WITHOUT DOOR","NOT ACTIVE-- כלוב 1 קומ בלי דלת  יצוא","Inactive","Retirement","Buy",4.9,"",0
"PLS","02001026","POULTRY CRATE MK1. - BLUE W/DOOR","כלוב דגם 1 כחול קומ","Active","Production","Buy",5.41,"FMA",2
"PLS","02001027","POULTRY CRATE MK1. - GREY W/DOOR","..כלוב 1 קומ אפור","Active","Production","Buy",5.41,"FMA",14
"PLS","02001030","NOT ACTIVE- POULTRY CRATE COM.","NOT ACTIVE-- כלוב 1 קומפלט","Inactive","Retirement","Buy","","",0
"PLS","02001031","NOT ACTIVE- POULTRY CRATE MK1. - W/DOOR","NOT ACTIVE-- .כלוב 1 שחור קומ","Inactive","Retirement","Buy","","",0
"PLS","02002001","NOT ACTIVE- POULTRY CRATE BASE - GREEN","NOT ACTIVE-- .כלוב 1 תחתון P.P ירוק כ","Inactive","Retirement","Buy","","",0
"PLS","02002002","POULTRY CRATE BASE -GREY WITH HOLES","..כלוב 1 תחת. PP אפור מחרר","Active","Production","Buy",2.735,"",0
"PLS","02002004","NOT ACTIVE- POULTRY CRATE BASE","NOT ACTIVE-- ....כלוב 1 תחתון P.P","Inactive","Retirement","Buy","","",0
"PLS","02002011","ASSEMBLY PIN 1/4 FOR POULT.CRATE 1-WHITE","......פין 1/4 מדורג לכלוב1 לבן","Active","Production","Buy",0.001,"MAS",20000
"PLS","02003013","LATCH FOR  POULTRY CRATE DOOR","מנעול לדלת כלוב","Active","Production","Buy",0.0561,"MAS",600
"PLS","02003014","DOOR HINGE  FOR POULTRY CRATE","ציר לדלת כלוב","Active","Production","Buy",0.0474,"MAS",400
"PLS","02003015","SCREW 5/16 FOR P. CRATE HINGE","...בורג 5/16 לציר כלוב","Active","Production","Buy",0.001,"MAS",20000
"PLS","02003016","NUT 1/4 FOR P. CRATE HINGE","..אום 1/4 לציר כלוב","Active","Production","Buy",0.001,"MAS",25000
"PLS","02003017","LATCH SPRING STAINLESS FOR P. CRATE DOOR",".מוט נירוסטה לדלת כלוב","Active","Production","Buy",0.01,"MAS",5000
"PLS","02003019","NOT ACTIVE- PLUG FOR BASE OF P. CRATE","NOT ACTIVE-- .פקק לכלוב תחתון","Inactive","Retirement","Buy",0.002,"MAS",14000
"PLS","02003117","DOOR SMALL - YELLOW WITHOUT LATCH","דלת כלוב קטנה צהוב ללא ידית","Active","Production","Buy",0.451,"MAS",32
"PLS","02003118","DOOR SMALL - YELLOW COM.","דלת כלוב קטנה צהוב קומ'","Active","Production","Buy",0.451,"MAS",32
"PLS","02007004","POULTRY CRATE MK1. UPPER + DOOR","כלוב 1 עליון +דלת","Active","Production","Buy",5.14,"FMA",0.5
"PLS","02007008","POULTRY CRATE MK1 UPPER + DOOR - YELLOW","כלוב 1 על. יצוא+דלת צהוב","Active","Production","Buy",5.41,"MAS",0
"PLS","02007010","NOT ACTIVE- POULTRY CRATE MK1. UPPER WITHOUT DOOR","NOT ACTIVE-- ..כלוב 1 על. יצוא בלי דלת","Inactive","Retirement","Buy",2.2,"",0
"PLS","02010005","NOT ACTIVE- POULTRY CRATE MK2.- YELLOW","NOT ACTIVE-- ..כלוב 2 P.P קומפלט צהוב","Inactive","Retirement","Buy",7.3,"",0
"PLS","02010006","NOT ACTIVE- POULTRY CRATE MK2.- BLUE","NOT ACTIVE-- ..כלוב 2 P.P קומפלט כחול","Inactive","Retirement","Buy",7.3,"",0
"PLS","02010007","POULTRY CRATE MK2. COM.","כלוב 2 P.P קומ' שחור","Active","Production","Buy",5.8,"FMA",0.5
"PLS","02010011","ASSEMBLY PIN CRATE MK2. - COLOURED","..פין לכלוב 2 צבעוני","Active","Production","Buy",0.0017,"MAS",20000
"PLS","02010117","NOT ACTIVE- DOOR FOR LARGE P.CRATE-YELLOW WITHOUT LATCH","NOT ACTIVE-- דלת כניסה  גדולה,צהוב ללא ידית","Inactive","Retirement","Buy",0.6531,"MAS",24
"PLS","02010118","DOOR P. CRATE MK .1-2 LARGE-YELLOW","דלת כ. 1-2 גדולה צהוב קומ.","Active","Production","Buy",0.6911,"MAS",18
"PLS","02012005","NOT ACTIVE- P. CRATE MK2. BASE PP - YELLOW","NOT ACTIVE-- ..כלוב 2 תחתון P.P צהוב","Inactive","Retirement","Buy",3.85,"",0
"PLS","02012006","NOT ACTIVE- P. CRATE MK2. BASE PP - BLUE","NOT ACTIVE-- ..כלוב 2 תחתון P.P כחול","Inactive","Retirement","Buy",3.85,"",0
"PLS","02012007","NOT ACTIVE- P. CRATE BASE PP -","NOT ACTIVE-- ..כלוב 2 תחתון P.P שחור","Inactive","Retirement","Buy",3.85,"",0
"PLS","02013005","NOT ACTIVE- P.CRATE MK2. UPPER PP - YELLOW + DOOR","NOT ACTIVE-- ..כלוב 2 עליוןP.P צהוב+דלת","Inactive","Retirement","Buy",3.45,"",0
"PLS","02013006","NOT ACTIVE- P.CRATE MK2. UPPER PP - BLUE+DOOR","NOT ACTIVE-- ..כלוב 2 עליוןP.P כחול+דלת","Inactive","Retirement","Buy",3.45,"",0
"PLS","02013007","P.CRATE MK2. UPPER PP -+DOOR","..כלוב 2 עליוןP.P שחור+דלת","Active","Production","Buy",3.45,"FMA",0.5
"PLS","02014005","NOT ACTIVE- P.CRATE MK2. UPPER - YELLOW WITHOUT DOOR","NOT ACTIVE-- .כלוב2 עליון צהוב בלי דלת","Inactive","Retirement","Buy",2.82,"",0
"PLS","02014007","NOT ACTIVE- P.CRATE MK2. UPPER - WITHOUT DOOR","NOT ACTIVE-- .כלוב2 עליון שחור בלי דלת","Inactive","Retirement","Buy",2.82,"",0
"PLS","02015007","NOT ACTIVE- P.CRATE MK2.COMPLETE - W/O DOOR","NOT ACTIVE-- .כלוב 2 שחור ללא דלת קומ","Inactive","Retirement","Buy",7.3,"",0
"PLS","02020010","NOT ACTIVE- CHICKBOX - ONE SECTION","NOT ACTIVE-- .אפרוחון חד-תאי","Inactive","Retirement","Buy",0.6,"",0
"PLS","02022000","NOT ACTIVE- LID FOR CHICKBOX - 2 SECTIONS","NOT ACTIVE-- .מכסה לאפרוחון 2 תאים","Inactive","Retirement","Buy","","",0
"PLS","02030001","NOT ACTIVE- LARGE TRAY - 60-40-160.2","NOT ACTIVE-- .מגש גידול 60-40-10.2","Inactive","Retirement","Buy","","",0
"PLS","02030002","NOT ACTIVE- LARGE TRAY - 60-40-1""2.1","NOT ACTIVE-- .מגש גידול 60-40-12.1","Inactive","Retirement","Buy","","",0
"PLS","02030003","NOT ACTIVE- LARGE TRAY - 60-40-1""5.5","NOT ACTIVE-- .מגש גידול 60-40-15.5","Inactive","Retirement","Buy","","",0
"PLS","02100007","WHITE PLUNGER FOR DRINKER 1-2-3","בוכנה לבנה שוקת 1-2-3","Active","Production","Make",0.00021,"MAS",40000
"PLS","02100010","CORD ADJUSTER 2","מכוון גובה חבל 2","Active","Production","Make",0.0066,"MAS",4000
"PLS","02100011","NOT ACTIVE-FLEXTUBE  FOR B.DRINKER 3M.LETE 5.7-9","NOT ACTIVE-צינור לשוקת 3 מטר 5.7-9 קומ'","Inactive","Retirement","Make",0.2225,"",0
"PLS","02100012","VALVE ASSEMBLY FOR DRINKER COM.","שסתום לשוקת  קומפלט","Active","Production","Make",0.005,"MAS",4600
"PLS","021000121","NOT ACTIVE-( REPLACED BY 02100012) VALVE ASSEMBLY FOR B. DRINKER - COM.PACKED","NOT ACTIVE-שסתום לשוקת לא ארוז ()","Inactive","Retirement","Make",0.005,"",0
"PLS","02100013","SMALL VALVE SPRING FOR B.DRINKER (0.7)","קפיץ  קטן לשוקת (0.7)","Active","Production","Buy",0.001,"MAS",30000
"PLS","02100015","LOCKNUT FOR B.DRINKER","אום נגדי לשוקת","Active","Production","Make",0.002535,"MAS",5000
"PLS","021000151","NOT ACTIVE- (REPLACED BY 02100015)LOCKNUT FOR B.DRINKER(Raviv item) INJECTED NOT PACKED","NOT ACTIVE-אום נגדי לשוקת(מוצר רביב) מוזרק לא ארוז ()","Inactive","Retirement","Make",0.002,"",0
"PLS","02100016","VALVE HOUSING FOR DRINKER - RED","בית שסתום  לשוקת אדום","Active","Production","Make",0.0031,"MAS",5000
"PLS","02100017","WATER LEVEL ADJUSTER - NATURAL","מכוון גובה מים טבעי","Active","Production","Make",0.01236,"MAS",1200
"PLS","021000171","NOT ACTIVE-E(REPLACED BY 02100017)WATER LEVEL ADJUSTER - NATURAL INJECTED PACKED","NOT ACTIVE-מכוון גובה מים טבעי מוזרק לא ארוז()","Inactive","Retirement","Make",0.012,"",0
"PLS","02100018","CORD ADJUSTER FOR DRINKER","מכוון גובה החבל לשוקת","Active","Production","Make",0.003,"MAS",20800
"PLS","021000181","NOT ACTIVE-( REPLACED BY 02100018)CORD ADJUSTER FOR B.DRINKER INJECTED PACKED","NOT ACTIVE-מכוון גובה החבל לשוקת מוזרק לא ארוז ()","Inactive","Retirement","Make",0.002,"",0
"PLS","02100019","FILTER FOR B.DRINKER - WITHOUT BASE","מסנן לשוקת בלי תושבת.","Active","Production","Make",0.005,"MAS",8000
"PLS","02100020","NOT ACTIVE- LOCKNUT WASHER-TURKEYS 31-37-2.9(FUSION)","NOT ACTIVE-- .ג.לאום נ. הודים31-37-2.9(פיוזן)","Inactive","Retirement","Buy","","",0
"PLS","02100021","O-RING FOR B.DRINKER 2 - P20",".גומיה 20 לשוקת 2 P20","Active","Production","Buy",0.0002,"MAS",32000
"PLS","02100023","NOT ACTIVE-O-RING 14-2.5 OLD P20","NOT ACTIVE-.גומיה 14-2.5 ישנה P20-","Inactive","Retirement","Buy","","",0
"PLS","02100024","NUT FOR UNION 1/4","אום לרקורד 1/4","Active","Production","Make",0.001697,"MAS",20000
"PLS","02100025","PIN FOR UNION 1/4","פין לרקורד 1/4","Active","Production","Make",0.001052,"MAS",40000
"PLS","02100026","NIPPLE 1/4-1/4 FOR S/C","ניפל 1/4-1/4","Active","Production","Make",0.0022,"MAS",12000
"PLS","02100027","WASHER FOR SADDLE/B.DRINKER  P-16",".גומיה 16 לרוכב שוקת P16","Active","Production","Buy",0.002,"MAS",20000
"PLS","02100028","IMPROVED WASHER FOR SADDLE SHUTOFF  P17",".ג.משופרת לרוכב שסגור  P17","Active","Production","Buy",0.003,"MAS",32000
"PLS","02100029","LOWER SADDLE BODY FOR B.DRINKER","גוף רוכב תחתון לשוקת","Active","Production","Make",0.00626,"MAS",1600
"PLS","02100030","SADDLE CONNECTOR FOR DRINKER","רוכב רגיל לשוקת קומפלט","Active","Production","Make",0.02706,"MAS",600
"PLS","02100031","REDUCER 1/2-1/4","ניפל מעבר 1/2-1/4","Active","Production","Make",0.009865,"MAS",2200
"PLS","02100032","TEE 1/4-1/4-1/4"" FOR DRINKER","T 1/4-1/4-1/4 לשוקת","Active","Production","Make",0.006,"MAS",2400
"PLS","02100033","NOT ACTIVE - TEE 1/4-1/2""-1/4 FOR DRINKER","NOT ACTIVE - T 1/4-1/2-1/4 לשוקת","Inactive","Retirement","Make",0.012,"MAS",1200
"PLS","02100034","SCREW FOR SADDLE CONNECTOR","בורג לרוכב רגיל","Active","Production","Buy",0.0048,"MAS",8000
"PLS","02100035","UPPER HALF OF REGULAR SADDLE CONNECTOR","חלק עליון -לרוכב רגיל","Active","Production","Make",0.005978,"MAS",2400
"PLS","02100036","BLACK PIN FOR UNION 1/4","פין שחור לרקורד 1/4","Active","Production","Make",0.00127,"MAS",50000
"PLS","02100037","NOT ACTIVE - CORD FOR DRINKING SYSTEMS SUSPENSION IN ROLL - 50M","NOT ACTIVE - חוט תליה למערכות שתיה בגליל - 50מ","Inactive","Retirement","Buy",0.358,"MAS",70
"PLS","02100039","UNION 1/4"" FOR  B.DRINKER","רקורד 1/4 לשוקת.","Active","Production","Make",0.002968,"MAS",10000
"PLS","021000391","NOT ACTIVE- (REPLACED BY 02100039) UNION 1/4"" FOR B.DRINKER NOT PACKED","NOT ACTIVE-רקורד 1/4 לשוקת לא ארוז( )","Inactive","Retirement","Make",0.002,"",0
"PLS","02100040","NOT ACTIVE-UNION 1/4"" - GREY/BLACK FOR B.DRINKER","NOT ACTIVE-רקורד שחור/אפור 1/4","Inactive","Retirement","Make",0.003,"MAS",10000
"PLS","021000401","NOT ACTIVE-(REPLACED BY 02100040) UNION 1/4"" - GRAY/BLACK FOR B.DRINKER PACKED","NOT ACTIVE-רקורד שחור/אפור 1/4 לא ארוז ()","Inactive","Retirement","Make",0.003,"",0
"PLS","02100041","BUSHING FOR B.DRINKER PP","תותב שוקת P.P","Active","Production","Make",0.03052,"MAS",500
"PLS","02100042","S/S DISK 22-0.6MM","דסקית נירוסטה 22-0.6מ""מ","Active","Production","Buy",0.0018,"MAS",10000
"PLS","02100043","LOWER HALF FOR CONNECTOR BOTTOM","חלק תחתון לגוף תחתון לשסגור","Active","Production","Make",0.006792,"MAS",1500
"PLS","02100044","CLIP FOR B. DRINKER FLEXIBLE TUBE","מחזיק צינור גמיש","Active","Production","Make",0.004,"MAS",10000
"PLS","021000441","NOT ACTIVE-(REPLACED BY 02100044)CLIP FOR B. DRINKER FLEXIBLE TUBE INJECTED PACKED","NOT ACTIVE-מחזיק צנור גמיש מוזרק לא ארוז(","Inactive","Retirement","Make",0.003,"",0
"PLS","02100045","STRIP FOR SADDLE CONNECTOR.","רצועה לרוכב רגיל.","Active","Production","Make",0.0005,"MAS",20000
"PLS","02100046","PLUG FOR SADDLE CONNECTOR - REGULAR.","פקק לרוכב רגיל.","Active","Production","Make",0.00233,"MAS",10000
"PLS","02100047","TOP HALF FOR CONNECTOR BOTTOM.","חלק עליון לגוף תחתון לשסגור.","Active","Production","Make",0.006113,"MAS",1500
"PLS","02100048","SHUTOFF FOR B.DRINKER - RED TAB","שסגור לשוקת לשונית אדומה","Active","Production","Make",0.037,"MAS",600
"PLS","02100049","NOT ACTIVE- NOT ACTIVE- LOWER HALF FOR SADDLE CONNECTOR SHUTOFF","NOT ACTIVE-- - חלק תחתון לרוכב שסגור קומ","Inactive","Retirement","Make","","",0
"PLS","02100050","SADDLE CONN.SHUTOFF FOR B.DRINKER","רוכב שסגור לשוקת קומפלט","Active","Production","Make",0.037,"MAS",600
"PLS","02100051","O-RING 50 FOR SHUTOFF P50",".גומיה 50 לשסגורP50-","Active","Production","Buy",0.0002,"MAS",150000
"PLS","02100052","NOT ACTIVE- FLEX.TUBE FOR B.DRINKER 5.7-9.0(30OR150)","NOT ACTIVE-- צנור לשוקת 5.7-9.0 למטר(ב30-מ' או 150מ')","Inactive","Retirement","Make",0.056,"",0
"PLS","02100054","WASHER 22 - P113 EPDM","גומיה 22 -EPDM P113","Active","Production","Buy",0.0002,"MAS",32000
"PLS","02100055","BASE OF FILTER ELEMENT - B.DRINKER","תושבת למסנן שוקת","Active","Production","Buy",0.000958,"MAS",0
"PLS","02100056","FILTER ELEMENT FOR B.DRINKER- WITH BASE","מסנן לשוקת עם תושבת","Active","Production","Make",0.001,"MAS",7200
"PLS","021000561","NOT ACTIVE-(REPLACED BY 02100056)FILTER ELEMENT FOR B.DRINKER- WITH BASE PACKED","NOT ACTIVE-מסנן לשוקת עם תושבת לא ארוז()","Inactive","Retirement","Make",0.001,"",0
"PLS","02100057","TEE 1/4-1/4-1/4 (MFM)","T 1/4-1/4-1/4 חוץ פנים","Active","Production","Make",0.0051,"MAS",4000
"PLS","02100058","NIPPLE REDUCER 1/2-1/4 (F/M) NPT","ניפל1/2-1/4חוץ פנNPT","Active","Production","Make",0.012225,"MAS",2000
"PLS","02100059","NOT ACTIVE-TEE 16-1/8-16 - (F)","NOT ACTIVE--.T שן 16-1/8-16 פנים","Inactive","Retirement","Buy","","MAS",0
"PLS","02100066","ANTI-SPLASH COLLAR","מגן התזה","Active","Production","Make",0.02736,"MAS",200
"PLS","02100070","NOT ACTIVE- FLEX TUBE FOR B.DRINKER - 3M. NARROW","NOT ACTIVE-- .צנור לשוקת 3 מ דק","Inactive","Retirement","Buy",0.168,"",0
"PLS","02100071","NOT ACTIVE- FLEX TUBE FOR B.DRINKER - 4M. NARROW","NOT ACTIVE-- .צנור לשוקת 4 מ' דק","Inactive","Retirement","Buy","","",0
"PLS","02100072","WASHER 22 - P1113 VITON","גומיה 22 - VITON P1113","Active","Production","Buy",0.39,"MAS",50000
"PLS","02100073","NOT ACTIVE- FLEX TUBE FOR B.DRINKER - 0.3M. NARROW","NOT ACTIVE-- .צינור לשוקת 0.3 מ' דק","Inactive","Retirement","Buy","","",0
"PLS","02100075","NOT ACTIVE- FLEX TUBE FOR B.DRINKER -  35M.","NOT ACTIVE-- .צנור לשוקת 35 מ'","Inactive","Retirement","Buy","","",0
"PLS","02100076","NOT ACTIVE- FLEX TUBE FOR B. DRINKER -  0.6M. NARROW","NOT ACTIVE-- צינור לשוקת 0.6 מ' דק","Inactive","Retirement","Buy","","",0
"PLS","02100077","FLEX TUBE FOR B.DRINKER - 30M. NARROW","צינור לשוקת 30 מ' דק","Active","Production","Buy",1.8,"MAS",10
"PLS","02100078","NOT ACTIVE- FLEX TUBE FOR B.DRINKER - 75M. NARROW","NOT ACTIVE-- צינור לשוקת 75 מ' דק","Inactive","Retirement","Buy",4.2,"",0
"PLS","02100079","FLEX TUBE FOR B.DRINKER - 150M. NARROW","צינור לשוקת 150 מ' דק","Active","Production","Buy",8.46,"MAS",3
"PLS","02100080","CORD FOR DRINKING SYSTEMS SUSPENSION - 2M","חוט תליה למערכות שתיה - 2מ","Inactive","Retirement","Buy","","",0
"PLS","02100081","NOT ACTIVE-NYLON CORD FOR B.DRINKER - 10M.","NOT ACTIVE--.חוט ניילון לשוקת 10 מטר","Inactive","Retirement","Buy",0.06,"",0
"PLS","02100082","CORD FOR DRINKING SYSTEMS SUSPENSION - 20M","חוט תליה למערכות שתיה - 20מ","Active","Production","Buy",0.084,"MAS",200
"PLS","02100083","CORD FOR DRINKING SYSTEMS SUSPENSION IN ROLL - 500M","חוט תליה למערכות שתיה בגליל - 500מ","Active","Production","Buy",3.7369,"MAS",8
"PLS","02100084","CORD FOR DRINKING SYSTEMS SUSPENSION - 50M","חוט תליה למערכות שתיה - 50מ","Active","Production","Buy",0.208,"MAS",70
"PLS","02100085","NOT ACTIVE-NYLON CORD FOR B.DRINKER - 500M","NOT ACTIVE--.חוט נילון לשוקת 500 מ'","Inactive","Retirement","Buy","","",0
"PLS","02100086","NOT ACTIVE-NYLON CORD 3MM (M)","NOT ACTIVE--חוט ניילון 3ממ (לפי מטר)","Inactive","Retirement","Buy","","",0
"PLS","02100087","NOT ACTIVE-NYLON CORD - 100M IN ROLL","NOT ACTIVE--.חוט ניילון 100מ בגליל","Inactive","Retirement","Buy","","",0
"PLS","02101002","NOT ACTIVE- BELL FOR B.DRINKER MK1.","NOT ACTIVE-- פעמון לשוקת 1","Inactive","Retirement","Make",0.485,"",0
"PLS","02101005","NOT ACTIVE-HANGER FOR B.DRINKER MK1","NOT ACTIVE-מתלה לשוקת 1 ()","Inactive","Retirement","Make",0.005,"MAS",500
"PLS","02101007","NOT ACTIVE- O-RING 21 FOR B.DRINKER MK1.-P21","NOT ACTIVE-- .גומיה 21 לשוקת 1 P21","Inactive","Retirement","Buy",0.001,"",0
"PLS","02102000","BREEDER DRINKER MK2. + REC.","שוקת 2 קומ   ת.א","Inactive","Retirement","Make",1.223968,"2DC",10
"PLS","02102020","NOT ACTIVE- GLUED BOTTLE FOR B.DRINKER MK2","NOT ACTIVE-- בקבוק מודבק קומ לשוקת 2","Inactive","Retirement","Buy","","",0
"PLS","02102030","MECH.II W/CORD ADJUSTER","מנגנון שוקת 2 לברזיל","Active","Production","Make","","",0
"PLS","02102031","MECH.II W/HANGER + UNION","מנגנון לשוקת 2+רקורד ""1/4+מתלה","Active","Production","Make",0.1455,"MAS",150
"PLS","02102032","NOT ACTIVE- BELL FOR B.DRINKER   MK2 WITHOUT INSERT","NOT ACTIVE-- פעמון לשוקת 2 בלי אינסרט","Inactive","Retirement","Make",0.67,"",0
"PLS","02102033","BALLAST BOTTLE FOR B.DRINKER 2+3","בקבוק מייצב לשוקת 2 ו3-","Active","Production","Buy",0.46,"2DC",20
"PLS","02102034","BELL FOR B.DRINKER MK2 WITH INSERT.","פעמון לשוקת 2 עם אינסרט.","Active","Production","Make",0.649,"2DC",10
"PLS","02102035","FILTER CAP FOR B.DRINKER MK2 - RED","כובע מסנן לשוקת 2 אדום","Active","Production","Make",0.0152,"MAS",1200
"PLS","021020351","NOT ACTIVE-(REPLACED BY 02102035)FILTER CAP FOR B.DRINKER MK2 - RED INJECTED PACKED","NOT ACTIVE-כובע מסנן לשוקת 2 אדום מוזרק לא ארוז ()","Inactive","Retirement","Make",0.0155,"",0
"PLS","02102036","MECHANISM PIPE  FOR B.DRINKER MK2-YELLOW","צינור מנגנון שוקת 2 צהוב","Active","Production","Make",0.03,"MAS",450
"PLS","021020361","NOT ACTIVE-(REPLACED BY 02100036)MECHANISM PIPE","NOT ACTIVE-(REPLACED BY 02100036)MECHANISM PIPE","Inactive","Retirement","Make",0.031,"MAS",0
"PLS","02102037","S/S SPRING FOR B.DRINKER MK2 (1.6)",".קפיץ נירוסטה לשוקת 2 (1.6)","Active","Production","Buy",0.009,"MAS",2400
"PLS","02102038","O-RING 31 FOR B.DRINKER MK2 - P31",".גומיה 31 לשוקת 2 P31","Active","Production","Buy",0.0009,"MAS",18800
"PLS","02102039","NOT ACTIVE- MECHANISM B.DRINKER MK2-UNIONWITHOUT HANGER","NOT ACTIVE-- מנגנון שוקת 2 ללא מתלה","Inactive","Retirement","Make",0.087,"",0
"PLS","02102041","BOTTLE  HANGER -","מתלה  שחור","Active","Production","Make",0.03954,"MAS",400
"PLS","02102051","MECHANISM B.DRINKER MK2 - BASIC","מנגנון שוקת 2 בסיסי","Active","Production","Make",0.075,"MAS",240
"PLS","02102053","NOT ACTIVE-MECHANISM B.DRINKR MK2 -WITHOUT UNION","NOT ACTIVE-מנגנון שוקת 2 רגיל בלי רקורד","Inactive","Retirement","Make",0.1236,"MAS",150
"PLS","02103006","NOT ACTIVE- BREEDER DRINKER MK2 - ASSEMBLY 6","NOT ACTIVE-- שוקת 2 קומ הרכב 6","Inactive","Retirement","Make",1.6,"",0
"PLS","02103009","NOT ACTIVE- BREEDER DRINKER MK2 WITHOUT CORD - ASS.9","NOT ACTIVE-- שוקת 2 קומ הרכב 9","Inactive","Retirement","Make",1.6,"",0
"PLS","02103015","NOT ACTIVE- BREEDER DRINKER MK2 WITHOUT FLEX TUBE-ASS.15","NOT ACTIVE-- שוקת 2 קומ הרכב 15","Inactive","Retirement","Make",1.6,"2DC",10
"PLS","02103054","MECH. B.DRINKER MK2 - DIVERSIFIED-ASS.54","מנגנון לשוקת 2 הרכב 54","Active","Production","Make",0.153968,"MAS",120
"PLS","02103057","MECH. B. DRINKER MK2-ITUR/B ASS.57MEXICO","מנ'לשוקת2 הרכב57(מקסיקו)","Active","Production","Make",0.127968,"MAS",150
"PLS","02103200","BREEDER DRINKER BASIC - WITHOUT UNION+TUBE","שוקת 2 קומ הרכב ללא צ/ר","Inactive","Retirement","Make",1.35,"2DC",0
"PLS","02103250","BREEDER DRINKER MK2 + FLEX","שוקת 2 קומ הרכב מלא","Active","Production","Make",1.628968,"2DC",10
"PLS","02103251","NOT ACTIVE- BREEDER DRINKER +FLEX(S)","NOT ACTIVE-- שוקת 2 קומ  הרכב סינגפור","Inactive","Retirement","Buy","","",0
"PLS","02103252","NOT ACTIVE- BREEDER DRINKER MK2 WITHOUT BOTTLE","NOT ACTIVE-- שוקת 2 בלי בקבוק קומ","Inactive","Retirement","Make","","",0
"PLS","02104000","NOT ACTIVE-TURKEY DRINKER + BOTTLE","NOT ACTIVE-שוקת הודים עם בקבוק קומ","Inactive","Retirement","Make",1.5,"TCA",10
"PLS","02104003","NOT ACTIVE-COMPACT TURKEY DRINKER BASIC-ISRAEL COM","NOT ACTIVE-שוקת הודים V לארץ קומ.","Inactive","Retirement","Make","","6DC",10
"PLS","02104004","NOT ACTIVE- COMPACT TURKEY DRINKER W/O FLEX+CORD COM","NOT ACTIVE-- שוקת הודים קומ.(ללא חוט וצנור)","Inactive","Retirement","Make",1.2,"5DC",10
"PLS","02104005","COMPACT TURKEY DRINKER","שוקת הודים V קומ","Active","Production","Make",1.495,"5DC",10
"PLS","02104006","NOT ACTIVE- COMPACT TURKEY DRINKER W/O NYLON CORD","NOT ACTIVE-- שוקת הודים ללא חוט נילון","Inactive","Retirement","Make","","",0
"PLS","02104020","COMPONENTS-TURKEY DRINKER","מכלול תוספות לש.הודים","Active","Production","Make",0.078968,"MAS",150
"PLS","02104021","NOT ACTIVE- COMONENTS-TURKEY DRINKER W/O FLEX TUBE","NOT ACTIVE-- מכ'תוספות לש.הודים ללא צינור גמיש","Inactive","Retirement","Make",0.075,"",0
"PLS","02104022","NOT ACTIVE-COMPONENTS-TURKEY DRINKER - PERU","NOT ACTIVE-מכלול תוספות לשוקת הודי לפרו","Inactive","Retirement","Make",0.116968,"MAS",150
"PLS","02104029","NOT ACTIVE- MECHANISM TURKEY DRINKER + 1 UNION","NOT ACTIVE-- מנגנון ש הודים רקורד אחד","Inactive","Retirement","Make",0.138,"MAS",150
"PLS","02104030","MECHANISM TURKEY DRINKER WITHOUT UNION","מנגנון ש הודים בלי רקורד","Active","Production","Make",0.1352,"MAS",150
