"
PLS_BOM_Reports / BOM components 2
Organization Code Parameter: 'PLS, MST', Assembly Item Parameter: '02%'"

"Assembly Number","Assembly Description","Assembly Hebrew Description","Assembly Status Code","ORG","Bom Name","Component Number","Component Description","Component Hebrew Description","Component Status Code","Component Quantity"
"02100007","WHITE PLUNGER FOR DRINKER 1-2-3","בוכנה לבנה שוקת 1-2-3","Active","MST","Primary","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.0005
"","","","","PLS","Primary","00004006","CAPILENE SG 50","קפילן 50 S.G","Active",0.0005
"02100010","CORD ADJUSTER 2","מכוון גובה חבל 2","Active","MST","ALT02","00005237","POM AMCEL KP 20","AC 20KP AMCEL  מטיקונה (F20)","Active",0.00273
"","","","","","Primary","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.00273
"","","","","PLS","Primary","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.00273
"02100011","NOT ACTIVE-FLEXTUBE  FOR B.DRINKER 3M.LETE 5.7-9","NOT ACTIVE-צינור לשוקת 3 מטר 5.7-9 קומ'","Inactive","MST","Primary","02100039","UNION 1/4"" FOR  B.DRINKER","רקורד 1/4 לשוקת.","Active",2
"","","","","","","02100070","NOT ACTIVE- FLEX TUBE FOR B.DRINKER - 3M. NARROW","NOT ACTIVE-- .צנור לשוקת 3 מ דק","Inactive",1
"","","","","PLS","Primary","02100039","UNION 1/4"" FOR  B.DRINKER","רקורד 1/4 לשוקת.","Active",2
"","","","","","","02100070","NOT ACTIVE- FLEX TUBE FOR B.DRINKER - 3M. NARROW","NOT ACTIVE-- .צנור לשוקת 3 מ דק","Inactive",1
"02100012","VALVE ASSEMBLY FOR DRINKER COM.","שסתום לשוקת  קומפלט","Active","MST","Primary","02100007","WHITE PLUNGER FOR DRINKER 1-2-3","בוכנה לבנה שוקת 1-2-3","Active",1
"","","","","","","02100013","SMALL VALVE SPRING FOR B.DRINKER (0.7)","קפיץ  קטן לשוקת (0.7)","Active",1
"","","","","","","02100016","VALVE HOUSING FOR DRINKER - RED","בית שסתום  לשוקת אדום","Active",1
"","","","","","","02100021","O-RING FOR B.DRINKER 2 - P20",".גומיה 20 לשוקת 2 P20","Active",1
"","","","","","","02100054","WASHER 22 - P113 EPDM","גומיה 22 -EPDM P113","Active",1
"","","","","PLS","Primary","02100007","WHITE PLUNGER FOR DRINKER 1-2-3","בוכנה לבנה שוקת 1-2-3","Active",1
"","","","","","","02100013","SMALL VALVE SPRING FOR B.DRINKER (0.7)","קפיץ  קטן לשוקת (0.7)","Active",1
"","","","","","","02100016","VALVE HOUSING FOR DRINKER - RED","בית שסתום  לשוקת אדום","Active",1
"","","","","","","02100021","O-RING FOR B.DRINKER 2 - P20",".גומיה 20 לשוקת 2 P20","Active",1
"","","","","","","02100054","WASHER 22 - P113 EPDM","גומיה 22 -EPDM P113","Active",1
"021000121","NOT ACTIVE-( REPLACED BY 02100012) VALVE ASSEMBLY FOR B. DRINKER - COM.PACKED","NOT ACTIVE-שסתום לשוקת לא ארוז ()","Inactive","MST","Primary","02100007","WHITE PLUNGER FOR DRINKER 1-2-3","בוכנה לבנה שוקת 1-2-3","Active",1
"","","","","","","02100013","SMALL VALVE SPRING FOR B.DRINKER (0.7)","קפיץ  קטן לשוקת (0.7)","Active",1
"","","","","","","02100016","VALVE HOUSING FOR DRINKER - RED","בית שסתום  לשוקת אדום","Active",1
"","","","","","","02100021","O-RING FOR B.DRINKER 2 - P20",".גומיה 20 לשוקת 2 P20","Active",1
"","","","","","","02100054","WASHER 22 - P113 EPDM","גומיה 22 -EPDM P113","Active",1
"","","","","PLS","Primary","02100007","WHITE PLUNGER FOR DRINKER 1-2-3","בוכנה לבנה שוקת 1-2-3","Active",1
"","","","","","","02100013","SMALL VALVE SPRING FOR B.DRINKER (0.7)","קפיץ  קטן לשוקת (0.7)","Active",1
"","","","","","","02100016","VALVE HOUSING FOR DRINKER - RED","בית שסתום  לשוקת אדום","Active",1
"","","","","","","02100021","O-RING FOR B.DRINKER 2 - P20",".גומיה 20 לשוקת 2 P20","Active",1
"","","","","","","02100054","WASHER 22 - P113 EPDM","גומיה 22 -EPDM P113","Active",1
"02100015","LOCKNUT FOR B.DRINKER","אום נגדי לשוקת","Active","MST","Primary","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.00254
"","","","","PLS","Primary","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.00254
"021000151","NOT ACTIVE- (REPLACED BY 02100015)LOCKNUT FOR B.DRINKER(Raviv item) INJECTED NOT PACKED","NOT ACTIVE-אום נגדי לשוקת(מוצר רביב) מוזרק לא ארוז ()","Inactive","MST","Primary","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.00253
"","","","","PLS","Primary","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.00253
"02100016","VALVE HOUSING FOR DRINKER - RED","בית שסתום  לשוקת אדום","Active","MST","Primary","00004376","PP NATURAL+RED 4052+439","PP NATURAL+RED 4052+439","Active",0.0031
